min_topic_size,n_topics,n_words,ngram_range,coherence
100,20,5,"(1, 2)",0.6939295140652327
50,20,5,"(1, 2)",0.6918371760606629
30,20,5,"(1, 2)",0.6887576576952432
75,20,5,"(1, 2)",0.6525125321631944
