n_topics,n_words,ngram_range,coherence
10,5,"(1, 2)",0.7253660599732178
20,5,"(1, 2)",0.7068735211346198
30,5,"(1, 2)",0.6619127012385477
20,10,"(1, 2)",0.6520750169786681
30,10,"(1, 2)",0.6416018094022947
10,10,"(1, 2)",0.626131932624827
