min_topic_size,n_topics,n_words,ngram_range,coherence
100,20,5,"(2, 3)",0.7472549766353644
30,20,5,"(2, 3)",0.7345069908989702
50,20,5,"(2, 3)",0.6686716895362821
75,20,5,"(2, 3)",0.6510255529565904
