n_topics,n_words,ngram_range,coherence
10,5,"(1, 2)",0.8161857105667755
20,5,"(1, 2)",0.7778515952830788
30,5,"(1, 2)",0.744878433875299
10,10,"(1, 2)",0.6746260196643132
20,10,"(1, 2)",0.6443112944361723
30,10,"(1, 2)",0.6378843495552073
