n_topics,n_words,ngram_range,coherence
20,5,"(1, 3)",0.7709945165705334
30,5,"(1, 3)",0.7259538445969791
20,10,"(1, 3)",0.7053313153964239
10,5,"(1, 3)",0.6833531188394831
10,10,"(1, 3)",0.6829315748691224
30,10,"(1, 3)",0.6180991429791709
