n_topics,n_words,coherence
10,5,0.6035660710527796
15,5,0.5961032561444013
5,5,0.5162551940990235
15,10,0.500849319403861
15,15,0.500849319403861
10,10,0.4745754480296904
10,15,0.4745754480296904
5,10,0.45536254539074533
5,15,0.45536254539074533
