n_topics,n_words,coherence
40,5,0.6469143171199753
50,5,0.6430801975923992
30,5,0.6413122966354952
25,5,0.6180248862649931
20,5,0.5751758737347389
50,10,0.5674923454909555
40,10,0.5663720741688112
30,10,0.558041678601619
25,10,0.5346914080056956
20,10,0.5007432777477123
