n_topics,n_words,coherence
15,5,0.5664362855504177
10,5,0.5532159171338134
15,15,0.48581639988918385
5,5,0.4720869489470696
15,10,0.4586499065014816
10,15,0.4198706594892958
10,10,0.4168811371423903
5,10,0.2947541745060888
5,15,0.2947541745060888
