min_topic_size,n_topics,n_words,ngram_range,coherence
100,20,5,"(1, 3)",0.6475126955962408
50,20,5,"(1, 3)",0.6329983492640843
30,20,5,"(1, 3)",0.6110833416441314
75,20,5,"(1, 3)",0.6022058851380959
