n_topics,n_words,coherence
15,5,0.6257199625123351
15,15,0.5993224236837728
5,5,0.5888778431247226
10,5,0.5437905752922791
15,10,0.5394991560445433
10,15,0.5370130434049493
10,10,0.49777845478100907
5,10,0.44267707968448045
5,15,0.44267707968448045
