n_topics,n_words,ngram_range,coherence
20,5,"(1, 2)",0.7958627923460386
30,5,"(1, 2)",0.7571432839548456
10,5,"(1, 2)",0.7011236735691537
20,10,"(1, 2)",0.6770360611793135
30,10,"(1, 2)",0.6096280650259753
10,10,"(1, 2)",0.6077723911685589
