n_topics,n_words,ngram_range,coherence
10,5,"(1, 3)",0.8295124532700124
20,5,"(1, 3)",0.7632130197531835
10,10,"(1, 3)",0.7618091751331015
30,5,"(1, 3)",0.7187117350415211
20,10,"(1, 3)",0.653101010783403
30,10,"(1, 3)",0.6299472130803513
